Region,Year,territory_code,population,log_population,area_km2,density,log_density,gdp,log_gdp,gdp_per_capita,log_gdp_per_capita,tourism_arrivals,log_tourism_arrivals,tourism_nightspent,log_tourism_nightspent,HPI_average,log_HPI_average,Observation_Disp_Income,log_Observation_Disp_Income,Observation_Average_Monthly_Exp,log_Observation_Average_Monthly_Exp,Observation_CPI_housing,log_Observation_CPI_housing,Observation_Income_Percentage,foreign_pc_avg,crime_avg,coastal_dummy,z_tourism,z_crime,AmenityIndex,Post
Calabria,2013,ITF6,1962430,14.4896940592127,15221.6148,128.923903658369,4.85922233618451,34382,10.4452884506014,17520.1153671723,9.77110494935297,1071049,13.8841491000173,3238679,14.9906760885803,658.768971332209,6.49037289842716,23722.2,10.074166597546,196,5.27811465923052,NA,NA,9.4,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,0
Calabria,2014,ITF6,1958226,14.4875495193137,15221.6148,128.64771745505,4.85707779628547,34017,10.4346156786399,17371.3350757267,9.76257671729052,1103900,13.9143599220064,3258024,14.9966314345995,684.750036205065,6.52905386101659,23613.3,10.0695653915958,207,5.33271879326537,NA,NA,10.6,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,0
Calabria,2015,ITF6,1951733,14.4842282538127,15221.6148,128.221152988315,4.85375653078444,34633.1,10.4525651511492,17744.7939856528,9.78384745530076,1198647,13.9967039786519,3475860,15.0613524883768,682.110507246377,6.52519167880295,23893.7,10.0813701048451,228,5.42934562895444,NA,NA,12,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,0
Calabria,2016,ITF6,1943085,14.479787474186,15221.6148,127.653013529156,4.8493157511578,34368.2,10.4448869972185,17687.4403332844,9.78061008099669,1226263,14.0194818912326,3485056,15.0639946709142,674.906337180797,6.51457392151235,24124.6,10.0909873457589,242,5.48893772615669,98.1,4.58598736657132,11.9,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,0
Calabria,2017,ITF6,1935097,14.4756680123886,15221.6148,127.128233464428,4.84519628936032,34517.7,10.4492275149359,17837.710461026,9.78907006051162,1331211,14.1015996122361,3792625,15.1485689494507,672.45171451099,6.5109303089146,24789.6,10.1181794893605,213,5.36129216570943,100.2,4.60716818865076,11,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Calabria,2018,ITF6,1924257,14.4700504771709,15221.6149,126.416087428411,4.83957874757306,34143.4,10.4383245813135,17743.679768347,9.7837846621069,1415817,14.1632173075958,4020981,15.2070364606755,664.845213958528,6.4995542525982,25169.3,10.1333802768567,222,5.40267738187228,102.1,4.62595272517062,10.4,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Calabria,2019,ITF6,1912021,14.4636713557968,15221.6149,125.61223053935,4.83319962619893,34070.3,10.4361813160169,17818.998849908,9.7880205181844,1443898,14.1828569588209,4104264,15.2275369912492,662.050983436853,6.49534256722663,25443.5,10.1442155866073,234,5.4553211153577,103,4.63472898822964,10.7,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Calabria,2020,ITF6,1894110,14.4542596291832,15221.6149,124.435548556678,4.82378789958535,31143.4,10.3463576237567,16442.2340835538,9.70760855253774,650637,13.3857071619853,2126968,14.5702080494054,646.339722437888,6.47132525167971,25113.3,10.1311528652609,251,5.52545293913178,99.8,4.60316818331742,11.2,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Calabria,2021,ITF6,1860601,14.4364101117775,15219.2985,122.252743777908,4.80609057209419,33616.7,10.4227782462854,18067.6566335286,9.80187869247219,971312,13.7864030138904,2900725,14.8804712637119,646.793763102725,6.47202748495814,25983.4,10.1652131515618,255,5.54126354515843,107.3,4.67562864963665,10.4,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Calabria,2022,ITF6,1855454,14.4336399680141,15219.2985,121.914554734569,4.80332042833077,34862.8,10.4591756371336,18789.3636813416,9.84104622708377,1297673,14.0760832184674,3758833,15.1396190948502,648.473821989529,6.47462163592481,27518.2,10.2226028829314,256,5.54517744447956,144.8,4.97535347995162,11.5,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Calabria,2023,ITF6,1846610,14.428862083664,15219.2985,121.333450421516,4.79854254398066,35269.2,10.4707653408067,19099.4308489611,9.85741381510702,1406587,14.1566767606692,4028905,15.2090051848436,649.277486910995,6.47586018605177,29179.2,10.2812114056626,228,5.42934562895444,147.4,4.99314997975524,10.3,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Calabria,2024,ITF6,1838568,14.4244975657134,15219.2985,120.805042361184,4.79417802603009,NA,NA,NA,NA,1408087,14.1577426035639,4059624,15.2166009164518,639.560990705792,6.46078198895879,NA,NA,221,5.39816270151775,137.4,4.92289637978825,9.4,0.863054185802324,2942.28888888889,0,-0.631763837103533,-0.672466859968844,0.0407030228653106,1
Campania,2011,ITF3,5822827,15.5772964406063,13670.598,425.937987496962,6.05429376641718,114190.1,11.6456198824287,19610.7663854688,9.88383399978669,3797236,15.1497839916148,15468971,16.5543467044999,1196.91395793499,7.08750182154998,72886,11.1966518556582,298,5.6970934865054,NA,NA,14.6,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,0
